x1,x2,x3,x4,x5,x6,x7,x8,class
-3.4847,-1.6145,-2.8852,-0.88037,2.0858,-4.4072,-0.30606,-3.0155,5
-9.4507,-18.392,-17.298,-9.1537,-15.499,-12.958,-6.5855,-10.13,7
19.829,10.405,12.543,13.943,6.4192,12.965,10.295,9.7251,6
20.929,8.9243,11.508,8.6066,7.3314,8.6727,12.434,11.568,6
-11.09,-13.24,-9.1665,-5.9027,-12.767,-12.065,-15.569,-8.0447,7
29.637,53.088,28.885,37.456,33.462,41.054,36.806,35.704,8
0.41481,-0.33541,0.32181,-0.05259,-1.036,-0.50909,3.7279,-3.2948,5
9.921,14.665,8.9446,8.1725,10.728,9.5029,10.701,10.877,6
-50.205,-34.357,-39.04,-28.149,-16.371,-36.852,-4.2812,-46.962,2
-17.719,2.7232,-9.3229,-5.4091,-18.872,-13.639,-3.5873,-27.27,2
-39.021,-34.777,-6.9596,-32.094,-3.49,-26.882,-32.248,-35.581,2
-15.615,-9.3322,-8.0179,-3.4465,5.5168,-8.2761,-16.869,-14.511,7
15.958,11.965,12.382,15.829,12.973,8.7332,13.639,17.75,6
-40.101,-43,-46.982,-43.131,-41.807,-41.35,-37.434,-40.339,3
-6.334,-9.2767,3.4049,-6.4835,-15.557,-18.947,-11.365,-18.559,7
39.357,33.999,31.553,39.742,33.395,28.645,39.782,42.408,4
-60.084,-50.917,-54.804,-51.179,-48.817,-54.208,-50.531,-55.8,3
-50.45,-39.251,-10.078,-47.514,-41.824,-18.5,-12.685,-20.775,2
-5.7879,-3.7765,-3.7856,-1.5116,-3.6312,-0.71202,-4.159,-6.5717,5
38.495,27.248,32.44,39.226,40.114,41.258,39.193,35.313,4
32.212,35.465,35.828,29.79,33.21,34.288,26.249,34.934,4
-0.72177,4.7339,-4.0807,1.6748,3.2602,3.9157,1.7329,1.9927,5
55.193,52.314,66.821,61.694,62.679,45.705,57.247,59.133,1
42.329,33.9,33.716,33.807,41.571,37.138,33.864,31.767,4
-1.6074,-15.451,-13.038,-8.194,-7.4681,-16.141,-10.981,-16.594,7
35.824,30.707,35.52,32.335,32.188,39.278,25.7,29.475,4
1.282,-0.16251,1.1389,-1.2602,0.2973,2.5925,-1.4931,1.7738,5
50.197,37.473,36.469,42.582,34.371,45.494,48.489,42.863,8
-17.829,-14.912,-9.5228,-5.9012,-10.584,-11.944,-9.8187,-9.8959,7
37.111,29.011,28.834,32.666,30.408,39.385,30.886,36.709,4
2.0119,1.1464,-1.9825,0.77012,1.3574,2.1803,2.611,-1.9021,5
-11.79,-11.663,-16.381,-13.725,-20.214,-12.578,-18.329,-8.0434,7
9.0892,7.7683,9.334,11.579,9.1096,8.9054,8.749,11.545,6
-10.808,-13.681,-20.517,-12.224,-14.716,-18.522,-9.2588,-12.518,7
44.141,48.489,50.784,53.063,45.374,48.758,48.57,48.557,1
2.3918,3.847,1.0329,1.8504,1.344,3.9407,3.0012,1.8266,5
-26.784,-42.583,-22.337,-19.487,-7.0201,-53.134,-25.108,-45.094,2
32.5,30.259,46.483,30.056,43.172,38.879,34.215,32.49,8
46.317,34.476,34.217,38.01,40.529,43.86,48.005,37.527,8
-44.867,-37.889,-29.659,-22.9,-37.153,-44.359,-26.66,-39.944,2
39.294,41.875,27.916,32.601,34.752,34.874,37.768,42.107,8
40.873,39.861,37.056,46.999,44.745,44.37,47.276,42.191,8
12.762,15.26,13.11,11.533,11.983,15.261,10.309,10.389,6
-3.3032,-6.5069,-4.1507,-2.2953,-6.5225,-7.9427,-3.4582,-5.421,5
6.2859,13.838,11.781,20.248,14.102,8.788,6.2447,11.718,6
2.0137,3.1547,2.9014,1.3192,2.0981,2.0286,-0.40803,1.9344,5
13.51,10.816,10.188,13.422,14.41,11.445,21.746,13.574,6
-40.428,-47.389,-44.352,-45.913,-46.094,-49.567,-45.763,-43.07,3
-14.854,-11.007,-10.382,-14.583,-17.925,-13.678,-13.207,-15.427,7
-16.855,-17.014,0.42351,-11.925,-27.573,-24.148,-13.799,-8.5231,2
-30.934,-40.446,-47.947,-26.74,-62.984,-32.55,-2.2934,-21.334,2
-0.7317,-2.6757,-12.59,-11.247,-19.595,-4.0131,-1.6674,-11.928,2
48.324,43.087,48.292,55.096,54.52,47.533,43.465,44.167,1
-43.679,-43.754,-43.362,-42.919,-44.953,-46.496,-40.677,-44.961,3
83.583,73.318,58.588,81.658,52.448,92.36,63.884,87.94,1
1.8331,0.4297,2.301,-0.040929,-2.1213,0.42461,2.6829,-0.78975,5
-49.949,-57.468,-53.24,-55.705,-54.297,-53.599,-54.234,-54.657,3
9.1707,10.182,10.09,8.7848,11.129,8.5275,8.2424,8.1224,6
29.499,36.129,36.744,29.773,41.007,35.598,38.329,35.805,4
-21.975,-10.544,1.2925,-17.243,-0.97111,-14.663,-12.532,-17.014,2
37.985,36.033,40.8,36.862,30.219,39.825,28.507,34.509,4
-40.503,-41.148,-43.29,-38.276,-39.992,-42.053,-40.08,-39.97,3
31.459,54.875,48.884,40.259,45.293,47.205,50.244,45.74,1
8.0467,11.87,12.5,15.339,12.149,14.457,12.851,12.301,6
37.828,38.87,37.037,38.421,37.908,38.341,36.856,38.931,8
-45.408,-45.823,-42.353,-38.234,-40.813,-46.031,-45.7,-46.175,3
0.21966,-3.6912,-0.8541,1.9413,1.1441,-2.135,-0.95797,1.7875,5
-19.044,-50.944,-21.257,-42.675,-24.911,-33.063,-49.117,-46.781,2
30.668,30.116,31.623,28.101,26.542,34.815,27.768,27.502,4
35.057,38.006,39.046,34.857,43.427,37.366,33.705,40.583,8
18.124,8.503,9.3915,10.9,7.395,9.0408,11.723,4.653,6
-14.667,-15.348,-13.608,-12.37,-15.174,-13.298,-15.126,-12.215,7
10.56,12.014,17.431,14.533,18.157,7.9973,7.1465,13.587,6
40.833,37.6,36.533,45.528,41.951,47.064,47.548,38.679,8
-54.628,-48.725,-52.512,-54.439,-56.967,-57.064,-55.446,-58.149,3
-58.926,-50.924,-55.546,-50.497,-55.229,-54.568,-49.492,-50.996,3
27.617,29.73,36.411,37.315,45.603,39.653,37.183,34.192,8
26.756,25.968,30.157,32.629,25.16,33.512,31.173,32.063,4
54.39,59.119,58.084,55.013,58.536,65.673,51.871,37.762,1
0.60415,1.1227,2.9217,4.0564,0.54662,2.2997,0.30974,1.6509,5
-40.633,-39.173,-40.428,-43.674,-39.87,-42.958,-38.572,-39.538,3
35.857,37.313,42.562,39.681,39.429,35.249,39.59,36.456,8
16.288,10.992,14.244,17.579,7.5535,2.8344,16.992,11.18,6
39.247,37.43,35.927,38.708,42.459,35.321,36.56,34.806,8
14.924,9.6321,16.615,9.4776,10.504,13.465,12.032,13.012,6
62.709,59.492,56.689,63.463,54.543,47.774,69.609,62.114,1
-15.199,-14.827,-11.702,-15.808,-13.029,-15.862,-13.354,-18.126,7
9.3727,12.515,12.137,16.473,13.123,12.329,10.731,17.57,6
-56.078,-55.929,-63.027,-48.773,-54.992,-60.014,-51.169,-57.287,3
40.768,38.936,36.367,31.506,39.155,38.367,32.972,36.974,4
-52.542,-40.626,-16.949,-21.075,-15.987,0.20333,-43.885,-31.84,2
-6.8755,-10.005,-1.3016,-4.4167,-8.0309,-16.926,-6.9584,-24.384,2
-5.5365,-0.53226,-0.99575,-7.4568,0.21202,-7.1825,-2.4644,-4.458,5
30.141,27.626,31.067,39.566,20.25,36.223,27.16,31.222,4
-7.8983,-20.75,-11.756,-8.7383,-12.893,-1.9266,-8.5549,-15.682,7
34.863,30.711,24.808,29.42,27.314,32.678,27.692,34.367,4
-11.511,-19.38,-8.2447,-13.465,-4.0212,-11.088,-6.0418,-11.105,7
11.534,9.2672,10.19,9.3961,7.9858,10.222,8.6815,5.9525,6
-20.004,-14.958,-7.5475,-7.1596,-6.5905,-16.773,-10.769,-6.3215,7
3.2091,-0.28444,3.9768,-1.1744,-0.020096,1.9329,0.32736,-3.7032,5
-39.927,-41.003,-40.719,-40.79,-41.38,-38.649,-40.22,-40.45,3
34.301,43.28,39.052,36.429,39.624,35.842,34.666,33.901,4
-60.712,-54.037,-53.69,-51.789,-53.276,-55.49,-53.168,-56.811,3
37.21,32.657,38.629,40.823,37.282,41.415,41.47,38.525,8
-43.796,-40.595,-50.077,-40.702,-46.193,-46.703,-45.944,-36.031,3
-4.06,-4.899,-7.2053,-10.885,-8.6208,-5.7553,5.8429,-13.712,2
34.714,46.709,41.829,47.354,36.124,40.648,40.975,36.731,8
-38.272,-42.107,-41.379,-40.472,-44.482,-41.248,-40.142,-37.46,3
63.903,65.063,50.087,58.897,70.279,50.282,47.041,55.157,1
43.552,38.25,46.282,35.633,45.494,36.825,44.225,35.606,8
-13.769,-16.405,-9.1862,-15.845,-13.46,-15.731,-18.198,-14.786,7
-16.816,-15.751,-15.062,-12.757,-14.657,-10.839,-12.873,-15.222,7
80.172,68.688,80.466,74.69,73.733,92.895,48.029,93.792,1
30.258,35.714,41.312,27.975,39.602,33.799,36.438,36.363,4
4.8773,-1.219,3.1083,0.78062,1.4529,0.54017,1.719,2.4041,5
65.215,89.086,38.318,52.473,82.698,57.804,85.462,71.1,1
42.694,32.749,31.277,31.068,36.421,39.527,31.832,37.716,4
71.442,74.895,74.193,77.763,47.047,73.458,86.25,65.69,1
-13.748,-7.8066,-8.904,-5.9184,-5.1989,-13.059,-11.343,-3.5719,2
39.748,47.06,38.836,38.222,45.799,38.107,39.868,36.034,8
42.447,45.361,55.787,45.899,47.799,45.841,42.741,44.062,1
63.555,67.205,38.54,74.171,68.555,86.388,68.074,55.214,1
34.649,42.559,37.382,37.079,40.072,36.68,34.954,42.203,8
-49.104,-52.485,-50.017,-53.286,-62.921,-54.282,-55.055,-51.207,3
-41.409,-31.947,-39.679,-35.204,-37.965,-38.861,-30.084,-23.362,2
36.42,31.12,33.178,40.042,36.604,38.028,36.464,40.115,8
6.5997,0.87028,0.50447,1.8455,1.9888,0.52387,2.0283,2.083,5
40.033,39.918,39.212,34.168,36.77,40.943,38.609,36.161,8
-32.116,-36.036,-43.44,-26.896,-11.464,-43.93,-19.733,-23.006,2
-16.471,-40.189,-23.627,-32.361,-39.954,-56.762,-35.46,-40.155,2
26.426,44.311,45.758,31.735,40.18,32.254,49.54,28.349,8
35.3,49.033,36.742,37.039,32.56,37.16,39.582,32.483,8
-54.044,-60.799,-55.346,-55.773,-51.764,-59.762,-56.893,-57.012,3
8.9285,11.31,11.454,10.092,11.211,10.877,11.12,10.395,6
10.138,8.6612,10.519,10.22,9.0007,9.1756,11.249,11.155,6
-38.432,-40.167,-12.885,-14.034,-2.347,-46.148,-50.197,-34.002,2
47.591,40.168,43.022,44.829,47.244,47.005,44.449,49.969,1
42.634,34.057,36.974,42.44,39.839,36.059,33.712,36.005,8
-15.141,-18.413,-14.029,-2.0312,-9.9661,-11.661,5.4143,8.7978,2
15.899,17.547,13.568,8.4922,12.347,14.009,9.3284,8.0425,6
-38.042,-50.214,-53.534,-42.007,-44.865,-35.306,-39.718,-35.472,2
44.138,52.667,45.826,39.993,42.905,40.814,53.535,48.961,1
-15.245,-12.718,-14.152,-16.131,-15.555,-19.071,-14.035,-10.495,7
41.879,34.7,34.989,36.313,39.605,38.622,35.223,35.772,4
83.549,57.211,51.34,71.751,68.481,81.773,93.318,83.609,1
-18.071,-9.8981,-10.187,-19.125,-11.644,-21.178,-13.243,-8.7977,7
-16.215,-16.305,-12.189,-17.377,-13.357,-16.087,-18.632,-10.218,7
60.644,61.344,51.743,57.505,63.843,51.9,62.133,61.252,1
41.808,33.241,30.018,36.887,35.213,37.992,30.525,37.745,4
10.159,9.5818,8.0763,8.071,9.3302,7.6136,10.693,9.5645,6
-32.115,-42.269,-23.407,-30.46,-37.658,-26.431,-35.577,-34.929,2
-7.9876,-6.4101,6.0807,-20.676,-14.2,-17.506,-9.7192,-10.647,2
-47.095,-42.91,-45.039,-45.704,-41.155,-43.487,-49.097,-42.32,3
41.58,35.501,34.06,45.644,38.077,44.587,40.56,36.529,8
-16.314,-12.381,-12.909,-13.733,-9.186,-4.2644,-15.583,-13.806,7
10.989,16.166,16.657,11.654,15.273,10.574,16.642,9.1773,6
39.108,27.098,22.429,29.574,33.817,34.824,33.482,38.245,4
-55.318,-38.102,-21.175,-43.405,-28.939,-39.281,-24.221,-30.453,2
75.148,47.369,70.975,63.672,55.958,62.613,63.256,53.787,1
47.268,48.958,48.275,41.792,49.89,46.488,57.899,49.471,1
35.042,35.88,36.213,36.207,35.266,35.092,36.653,35.465,8
57.588,61.333,64.209,51.767,52.053,66.337,61.366,71.448,1
-6.3287,-6.6769,-4.0652,-9.8563,-4.7163,-2.6338,-7.4829,-7.8965,5
41.386,39.452,34.547,36.653,40.015,44.874,45.804,48.512,8
-4.3149,-2.7939,-4.9926,-4.2392,-3.1107,-1.9217,-2.3597,-3.9376,5
-41.327,-40.657,-38.569,-41.101,-41.143,-38.849,-36.113,-38.829,3
-2.7104,-19.42,-12.389,-7.7201,-12.242,-8.3097,-10.403,-6.8239,7
34.849,39.972,37.515,39.495,38.068,38.441,36.172,37.79,8
6.15,-0.64809,2.1327,-1.8477,-0.33331,1.2968,2.3395,0.51875,5
-8.9862,0.39459,-5.2085,-10.132,-11.643,-5.6119,-3.443,-15.912,7
-8.7591,-12.328,-4.3914,-13.652,-21.189,-22.767,-10.437,-11.794,7
42.75,43.644,40.422,48.066,40.048,36.894,43.474,33.707,4
-36.411,-40.575,-24.231,-23.405,-34.439,-30.659,-26.629,-27.278,2
37.867,33.95,33.4,28.606,41.774,35.349,35.891,39.472,8
6.0584,9.258,9.8266,16.184,9.8842,9.4112,4.1793,18.389,6
34.901,29.792,37.058,34.353,37.554,44.359,35.488,42.925,4
-48.583,-45.601,-45.873,-40.805,-44.753,-48.212,-44.906,-46.442,3
41.197,41.287,40.198,27.912,48.691,51.658,46.161,46.613,8
-4.0245,-6.3183,-6.7489,0.47355,-5.5898,-5.8424,-2.2767,-2.8964,5
0.07997,4.0482,-0.044963,0.13752,2.9182,4.2869,0.13957,1.5678,5
30.451,29.203,33.135,32.738,29.247,27.905,34.629,26.307,4
45.694,49.036,47.07,51.714,44.675,44.603,36.137,47.718,1
37.851,42.989,28.9,27.993,38.883,28.241,32.168,35.76,8
54.515,62.756,49.25,60.806,58.22,62.093,62.295,60.264,1
36.17,47.171,39.717,36.117,31.977,39.229,43.898,29.259,4
91.794,60.551,83.704,85.429,84.892,68.203,79.414,72.354,1
36.64,40.015,41.601,40.343,36.993,40.069,36.522,36.286,8
-0.057874,-1.5303,-3.2036,2.9251,0.46413,2.4691,1.7949,3.0302,5
-40.353,-26.309,-58.369,-20.642,-33.326,-43.473,-29.294,-51.507,2
39.252,35.67,36.508,36.695,37.815,35.52,34.815,38.042,8
-8.487,-9.702,-7.8566,-4.3589,-14.916,-2.3996,-10.37,-0.82559,7
9.9335,7.5578,10.035,8.2233,9.2097,9.42,10.067,10.386,6
37.622,36.864,48.059,36.213,34.503,38.773,35.489,32.031,4
-47.008,-62.755,-38.982,-34.745,-38.263,-39.853,-42.844,-38.338,2
37.625,38.23,39.468,34.421,37.555,39.367,37.347,32.997,8
47.464,42.08,47.764,50.122,37.384,47.947,45.715,38.053,1
-43.705,-45.178,-46.258,-17.366,-17.689,-23.856,-23.965,-25.562,2
66.348,42.954,62.109,58.651,52.436,45.164,57.223,79.343,1
-2.4658,1.2309,-3.9597,2.2617,1.2981,-1.6663,1.6375,3.5255,5
50.201,48.358,49.888,46.841,47.353,57.893,41.344,49.113,1
-1.4615,-5.3612,-2.8388,-7.1336,-0.71389,-4.4782,1.7688,0.81327,5
-12.297,-16.093,-13.142,-13.628,-15.94,-12.982,-11.43,-13.213,7
63.193,63.141,56.058,68.758,59.039,59.864,54.38,55.993,1
12.93,6.7266,11.565,9.6675,9.1176,15.502,11.439,11.178,6
34.181,31.063,27.057,34.07,36.951,36.003,36.603,29.923,4
-15.964,-10.755,-11.645,-14.284,-13.272,-17.399,-15.428,-13.917,7
38.405,31.805,36.384,33.159,37.09,40.173,34.966,33.607,4
36.195,35.397,39.974,37.797,33.205,37.423,37.15,39.265,4
45.794,33.905,35.797,36.656,35.645,33.515,40.952,31.884,4
48.43,41.347,39.86,40.052,43.799,36.201,41.71,46.986,8
39.359,34.188,31.125,37.302,24.167,28.866,28.461,42.648,8
35.595,26.397,32.119,35.593,31.382,30.545,30.318,30.693,4
10.051,9.4723,9.2473,7.5957,10.69,9.4705,12.096,9.2203,6
40.123,26.323,37.456,34.543,37.854,42.238,28.827,30.647,4
40.622,38.152,38.886,37.861,35.706,36.909,38.67,36.302,8
-44.453,-43.466,-41.667,-47.204,-37.708,-33.929,-47.781,-45.236,3
66.795,57.019,68.051,66.221,53.231,50.9,57.825,67.866,1
54.824,49.828,48.821,45.51,44.258,44.984,46.088,45.91,1
-9.8571,-4.2155,-9.0998,-14.387,-11.138,-19.957,-1.0644,-20.55,7
-42.034,-47.374,-41.848,-43.912,-43.497,-45.664,-46.282,-37.798,3
34.673,35.727,46.086,47.036,41.218,37.747,34.96,38.595,8
63.348,62.665,76.768,77.718,72.769,76.16,57.792,83.866,1
11.033,10.758,19.367,13.563,15.699,14.863,3.5231,8.5808,6
70.084,71.168,71.43,81.262,90.376,51.552,91.007,40.656,1
-18.252,-13.686,-10.478,-15.012,-13.757,-13.394,-10.53,-14.657,7
-47.197,-39.145,-49.001,-45.784,-52.916,-45.46,-49.622,-43.543,3
-13.714,-15.134,-12.249,-13.012,-5.5154,-7.3291,-21.029,-5.1733,7
34.905,32.589,34.833,26.223,41.258,35.395,30.676,32.366,4
58.618,48.452,69.325,52.061,58.486,65.447,73.994,74.509,1
0.2922,3.877,1.1077,1.4696,4.1611,-1.4769,-3.6688,2.2879,5
38.047,36.702,37.573,35.289,37.044,41.186,37.507,38.209,8
2.6067,4.0034,2.2198,2.1802,2.6019,7.5841,5.1349,4.24,5
41.232,44.56,33.468,41.714,35.724,32.322,31.41,40.859,8
-9.3985,-5.489,-3.7583,-11.95,-5.7568,-10.703,-3.8662,1.0894,2
-13.107,-21.961,-38.735,-48.5,-33.424,-46.232,-28.797,-23.167,2
-1.0561,-1.0555,-4.1539,1.7665,-4.7796,-8.9419,-4.5457,-4.6689,5
-41.349,-40.562,-41.609,-41.888,-39.615,-41.646,-40.559,-39.926,3
-19.944,-14.224,-11.285,-8.6166,-3.656,-14.205,-13.332,-9.8522,7
-13.054,-14.912,-13.166,-11.964,-14.647,-14.273,-12.361,-10.795,7
-25.118,-1.6078,-13.115,-17.205,-18.995,-3.6066,-5.9172,-8.9204,2
43.437,47.748,40.491,50.02,37.288,39.312,54.453,39.555,1
-54.318,-49.411,-58.73,-51.483,-52.08,-53.556,-55.404,-57.845,3
-8.7641,-2.9121,-1.6576,-4.1832,-0.1302,-9.113,-7.1739,-6.5,5
83.306,67.186,81.416,55.073,77.204,50.515,56.627,58.955,1
36.309,36.758,39.733,36.676,38.451,34.897,41.308,39.643,8
46.352,39.99,54.227,47.014,40.682,49.52,40.369,38.584,1
-13.106,-14.81,-15.53,-14.839,-14.62,-14.477,-11.766,-11.845,7
-15.301,-14.628,-11.094,-11.573,-11.863,-7.9649,-9.6863,-11.4,7
-4.8176,7.7585,-2.1046,-9.5337,-3.1166,-11.936,-1.8634,-0.19094,2
14.069,7.1291,8.4795,9.6665,17.199,17.691,12.743,13.986,6
-13.702,-14.993,-9.8926,-14.499,-18.161,-14.51,-11.783,-10.211,7
-8.1596,-10.731,-6.3902,-19.965,-13.594,-6.838,-18.277,-13.432,2
-11.385,-7.5652,-14.846,3.2264,-9.1139,-4.1462,-7.147,-2.999,2
44.417,39.833,46.646,47.802,42.954,39.397,34.151,40.705,8
-8.1284,-15,-5.1473,-9.7737,-20.183,-7.4317,-10.385,-11.379,7
33.163,46.262,34.12,48.206,41.819,30.369,35.173,33.833,8
-39.995,-41.467,-41.641,-41.205,-41.544,-41.284,-39.518,-40.871,3
28.534,34.62,37.49,33.004,32.298,36.959,42.078,33.471,4
10.869,14.434,13.687,10.112,10.636,9.8698,8.8727,14.141,6
32.574,32.29,26.732,32.937,20.367,26.384,36.127,32.876,4
-19.948,-11.02,-21.799,-6.1971,-3.0126,-17.263,-8.7121,-6.0553,2
36.984,37.826,37.701,37.609,37.619,43.346,37.036,38.45,8
40.06,34.733,46.163,49.372,32.137,44.067,34.702,40.765,8
40.007,38.191,38.774,46.146,38.193,37.839,40.881,47.81,8
15.457,12.24,15.21,8.5053,10.62,14.1,12.114,9.3207,6
-44.597,-50.477,-44.537,-42.953,-42.99,-41.151,-47.51,-45.63,3
13.011,12.827,15.073,14.273,13.199,12.614,14.968,7.9528,6
37.405,36.585,35.653,34.7,37.646,38.588,39.603,35.885,8
-30.62,-37.025,-29.331,-60.872,-35.034,-23.794,-15.312,-37.255,2
-2.9129,-0.082828,-1.9669,0.80494,-4.8818,-2.5373,-6.1993,-0.99553,5
-15.643,-13.784,-13.417,-13.981,-12.705,-17.111,-16.498,-14.856,7
8.9173,12.757,16.145,18.666,12.929,10.854,10.143,6.9363,6
37.79,33.541,34.666,44.054,25.674,34.597,41.071,33.033,4
36.647,39.9,29.733,33.879,32.762,34.674,43.267,32.071,4
-39.368,-50.916,-38.034,-14.514,-25.643,-5.189,-22.637,-39.775,2
-54.596,-59.684,-59.745,-53.376,-52.464,-50.037,-56.971,-51.25,3
7.6933,10.144,12.12,9.9393,10.491,9.4821,9.5361,11.715,6
64.652,57.412,39.768,69.147,62.82,53.083,56.601,67.312,1
33.426,38.797,36.051,35.204,37.753,39.525,38.449,37.536,8
-4.4484,-6.8937,-8.6246,-0.14914,-11.28,-10.221,1.3549,-6.5356,5
-15.202,-10.962,-7.6355,-3.4355,-11.674,-21.399,-11.588,-10.124,7
-16.431,-12.831,-11.548,-8.9447,-11.857,-13.651,-6.7253,-3.3036,7
33.402,35.98,36.59,37.428,32.272,36.693,36.106,36.819,4
-28.273,-14.264,-28.878,-20.124,-20.393,-55.264,-6.5319,-35.533,2
46.667,47.552,44.505,49.764,44.215,37.059,49.72,45.168,1
-29.706,-20.917,-15.135,-17.718,-54.746,-47.306,-23.625,-37.412,2
32.508,22.052,37.266,30.884,29.907,30.093,26.268,32.443,4
-24.62,-10.698,-34.416,-47.295,-3.407,-41.588,-58.806,-11.459,2
11.725,10.503,7.4511,8.6968,9.4229,9.6525,6.5845,13.772,6
38.412,39.661,37.586,39.607,35.664,38.698,36.095,39.979,8
-7.1427,-18.623,-7.2834,-11.466,-18.288,-6.3403,-17.026,-0.30491,2
40.067,32.002,39.323,30.902,36.97,45.138,39.976,37.794,8
33.848,34.262,32.747,36.882,35.966,42.904,36.856,37.475,4
-11.392,0.56128,-17.544,-20.498,-12.937,-14.455,-9.815,-6.2817,7
-0.074637,1.2734,5.0545,0.25871,0.5014,2.3352,-0.82388,2.8405,5
44.363,49.64,38.234,52.502,43.73,45.289,42.442,44.61,1
7.9373,9.1017,10.718,10.293,7.8835,11.099,9.7047,8.6944,6
